No,HN1,HN2,L1,L2,L3,AVG
163,160,16,0.88101983,0.949008499,0.934844193,0.921624174
164,160,32,0.892351275,0.954674221,0.937677054,0.928234183
165,160,48,0.90368272,0.95184136,0.943342776,0.932955619
166,160,64,0.909348442,0.954674221,0.946175637,0.936732767
167,160,80,0.915014164,0.95184136,0.95184136,0.939565628
168,160,96,0.909348442,0.957507082,0.946175637,0.937677054
169,160,112,0.912181303,0.954674221,0.954674221,0.940509915
170,160,128,0.912181303,0.957507082,0.954674221,0.941454202
171,160,144,0.912181303,0.960339943,0.943342776,0.938621341
172,160,160,0.90368272,0.960339943,0.949008499,0.937677054
173,160,176,0.906515581,0.957507082,0.957507082,0.940509915
174,160,192,0.909348442,0.960339943,0.957507082,0.942398489
175,160,208,0.909348442,0.968838527,0.954674221,0.944287063
176,160,224,0.909348442,0.957507082,0.954674221,0.940509915
177,160,240,0.915014164,0.960339943,0.957507082,0.944287063
178,160,256,0.90368272,0.957507082,0.954674221,0.938621341
179,160,272,0.912181303,0.957507082,0.954674221,0.941454202
180,160,288,0.912181303,0.937677054,0.960339943,0.936732767
181,176,16,0.889518414,0.954674221,0.940509915,0.928234183
182,176,32,0.900849858,0.95184136,0.943342776,0.932011331
183,176,48,0.898016997,0.957507082,0.949008499,0.934844193
184,176,64,0.90368272,0.946175637,0.946175637,0.932011331
185,176,80,0.895184136,0.946175637,0.946175637,0.92917847
186,176,96,0.915014164,0.957507082,0.943342776,0.938621341
187,176,112,0.912181303,0.954674221,0.957507082,0.941454202
188,176,128,0.912181303,0.957507082,0.95184136,0.940509915
189,176,144,0.909348442,0.954674221,0.957507082,0.940509915
190,176,160,0.909348442,0.960339943,0.949008499,0.939565628
191,176,176,0.912181303,0.960339943,0.95184136,0.941454202
192,176,192,0.912181303,0.960339943,0.957507082,0.943342776
193,176,208,0.912181303,0.957507082,0.957507082,0.942398489
194,176,224,0.912181303,0.95184136,0.960339943,0.941454202
195,176,240,0.906515581,0.960339943,0.954674221,0.940509915
196,176,256,0.90368272,0.954674221,0.966005666,0.941454202
197,176,272,0.906515581,0.960339943,0.963172805,0.943342776
198,176,288,0.90368272,0.966005666,0.963172805,0.944287063
199,192,16,0.869688385,0.949008499,0.949008499,0.922568461
200,192,32,0.90368272,0.949008499,0.940509915,0.931067044
201,192,48,0.878186969,0.954674221,0.95184136,0.928234183
202,192,64,0.906515581,0.957507082,0.946175637,0.936732767
203,192,80,0.912181303,0.95184136,0.946175637,0.936732767
204,192,96,0.912181303,0.954674221,0.949008499,0.938621341
205,192,112,0.90368272,0.949008499,0.954674221,0.93578848
