Time,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1
31258,4,0.510983749,0.151768913,1.022445729,0.180943834,0.176786539,0.139129816,0.15347459,0.292264551
31259,4,0.514303725,0.151768913,1.022445729,0.180943834,0.176953861,0.13928283,0.153637735,0.293148813
31260,4,0.514303725,0.151612725,1.022445729,0.180798212,0.176786539,0.139129816,0.15347459,0.292559046
31261,4,0.514303725,0.151612725,1.022445729,0.180798212,0.176619372,0.139129816,0.15347459,0.292559046
31262,4,0.514303725,0.151612725,1.022445729,0.180943834,0.176953861,0.139129816,0.153637735,0.293148813
31263,4,0.514303725,0.151612725,1.023887088,0.180798212,0.176786539,0.139129816,0.15347459,0.29285354
31264,4,0.514303725,0.151456755,1.022445729,0.180652743,0.176619372,0.138977021,0.153311702,0.292264551
31265,4,0.514303725,0.151301057,1.022445729,0.180507429,0.176452513,0.138824532,0.153311702,0.292264551
31266,4,0.514303725,0.151301057,1.022445729,0.180507429,0.176452513,0.138824532,0.153311702,0.292264551
31267,4,0.514303725,0.151301057,1.022445729,0.180507429,0.176285808,0.138824532,0.153149073,0.291969278
31268,4,0.514303725,0.151301057,1.022445729,0.180507429,0.176285808,0.138824532,0.153311702,0.292264551
31269,4,0.514303725,0.151301057,1.022445729,0.180507429,0.176285808,0.138824532,0.153311702,0.292264551
31270,4,0.514303725,0.151301057,1.022445729,0.180507429,0.176285808,0.138977021,0.153311702,0.292264551
31271,4,0.510983749,0.151301057,1.022445729,0.180507429,0.176285808,0.138977021,0.153311702,0.292264551
31272,4,0.514303725,0.151301057,1.022445729,0.180507429,0.176285808,0.138977021,0.153311702,0.291969278
31273,4,0.514303725,0.151301057,1.023887088,0.180507429,0.176285808,0.138977021,0.153311702,0.292264551
31274,4,0.514303725,0.151301057,1.023887088,0.180507429,0.176285808,0.138977021,0.153311702,0.292264551
31275,4,0.514303725,0.151301057,1.023887088,0.180507429,0.176452513,0.138977021,0.153311702,0.292264551
31276,4,0.510983749,0.151145577,1.023887088,0.180507429,0.176285808,0.138824532,0.153311702,0.292264551
31277,4,0.514303725,0.151145577,1.023887088,0.180507429,0.176285808,0.138824532,0.153311702,0.291969278
31278,4,0.514303725,0.151145577,1.023887088,0.180507429,0.176285808,0.138977021,0.153311702,0.292264551
31279,4,0.514303725,0.151145577,1.023887088,0.180507429,0.176285808,0.138977021,0.153311702,0.292264551
